to	en
tom	en
is	en
я	ru
in	en
of	en
do	en
de	fr
di	it
том	ru
it	en
je	fr
die	de
que	pt
la	es
il	it
me	en
das	de
on	en
à	fr
на	ru
el	es
we	en
un	it
du	de
ne	fr
es	de
at	en
en	es
er	de
с	ru
as	en
una	it
go	en
彼	ja
tu	fr
ho	it
an	en
្	km
mit	de
私	ja
des	fr
et	fr
con	it
si	it
us	en
dans	fr
wie	de
lei	it
von	de
lo	es
тома	ru
var	tr
း	my
​	km
da	it
os	pt
maria	de
las	es
រ	km
qui	fr
за	ru
im	de
да	mk
see	en
onun	tr
ု	my
és	hu
boston	en
più	it
na	tl
bana	tr
şey	tr
meg	hu
င	my
из	ru
彼女	ja
ေ	my
ိ	my
al	es
te	nl
jeg	da
от	ru
po	tl
သ	my
uns	de
ង	km
va	it
е	mk
sua	it
все	ru
voi	it
ko	tl
могу	ru
ល	km
john	en
ြ	my
par	fr
hier	de
ao	pt
то	ru
seu	pt
én	hu
ma	fr
စ	my
до	ru
sana	tr
det	sv
ont	fr
yo	es
este	es
់	km
យ	km
ទ	km
ည	my
много	ru
bei	de
ja	fi
ona	tr
人	ja
ki	hu
biz	tr
moi	fr
ှ	my
何	ja
dit	fr
vi	it
ិ	km
ako	tl
alle	de
من	ar
ile	tr
ျ	my
où	fr
ុ	km
ses	fr
ွ	my
posso	it
का	mr
ser	pt
со	ru
ခ	my
pero	es
ំ	km
om	nl
può	it
ни	ru
tun	de
ми	uk
េ	km
ли	ru
seni	tr
или	ru
tomi	hu
să	ro
ni	tl
ama	tr
ay	tl
sem	hu
že	cs
dos	pt
mo	tl
mal	de
ើ	km
ជ	km
fa	it
tempo	pt
ba	ha
ya	ha
им	ru
без	ru
ី	km
aquí	es
på	sv
mu	tr
prima	it
dire	fr
mes	fr
ែ	km
han	da
sais	fr
дома	ru
вчера	ru
monde	fr
nos	pt
gün	tr
君	ja
nada	es
ним	ru
úgy	hu
libro	it
geld	de
си	mk
yeni	tr
ir	pt
که	fa
hâlâ	tr
ou	fr
tuo	it
ូ	km
ီ	my
li	it
già	it
даже	ru
tua	it
ោ	km
vie	fr
quanto	it
ta	fr
sabe	pt
dia	pt
í	is
家	ja
او	fa
d'un	fr
時	ja
jak	pl
vita	it
日	ja
día	es
iki	tr
ဖ	my
quel	it
tre	it
med	da
seus	pt
ieri	it
ံ	my
ဲ	my
ka	tl
fel	hu
自分	ja
中	ja
dal	it
hem	nl
того	ru
toms	de
見	ja
ါ	my
kinder	de
están	es
ယ	my
一	ja
volta	it
एक	mr
часто	ru
ៅ	km
doen	nl
moet	nl
aldı	tr
ali	tr
два	ru
anderen	de
auto	de
neki	hu
weg	de
ဆ	my
ួ	km
ထ	my
誰	ja
僕	ja
бостон	ru
dijo	es
ញ	km
som	no
語	ja
本	ja
年	ja
dice	it
gens	fr
車	ja
lì	it
á	is
men	en
grande	it
ហ	km
tes	fr
dort	de
kam	de
हे	mr
qua	it
ai	fr
yi	ha
仕事	ja
знаете	ru
za	pl
poco	es
ူ	my
padre	it
bile	tr
mis	es
ciò	it
că	ro
та	uk
hun	da
zo	nl
niemand	de
можем	ru
geldi	tr
tú	es
bizim	tr
今	ja
方	ja
stai	it
日本	ja
時間	ja
gaan	nl
problema	it
cu	ro
meus	pt
kun	fi
ធ	km
hund	de
tres	es
às	pt
sulla	it
vostra	it
tam	tr
gusto	tl
беше	mk
parece	es
前	ja
gente	es
ថ	km
мери	mk
今日	ja
pris	fr
ilk	tr
min	da
би	uk
sing	en
recht	de
túl	hu
estás	es
来	ja
tanto	it
têm	pt
madre	it
ភ	km
od	pl
者	ja
tut	de
tue	it
могли	ru
金	ja
達	ja
子供	ja
nacht	de
ons	nl
dela	pt
yer	tr
назад	ru
jos	fi
días	es
tak	pl
air	en
festa	it
気	ja
kas	lt
дал	ru
volte	it
।	or
ваш	ru
nome	it
porta	it
ville	fr
escola	pt
entre	pt
vil	da
sai	it
bizi	tr
tą	lt
paar	de
sera	it
japan	en
ga	nl
comer	pt
hemen	tr
vostre	it
din	ro
jo	lt
wala	tl
pa	tl
alt	de
coche	es
feliz	pt
ឹ	km
quasi	it
reden	de
nostra	it
весь	ru
difficile	it
persona	it
英語	ja
aos	pt
hora	es
nostre	it
必要	ja
daran	de
haber	es
ami	fr
vele	hu
៉	km
ផ	km
ano	pt
dû	fr
momento	it
liegt	de
父	ja
ön	hu
bi	ku
ev	tr
så	da
viene	it
学校	ja
lugar	pt
francia	it
問題	ja
над	ru
္	my
durante	it
italia	it
aver	it
toda	pt
事	ja
yalan	tr
comprar	pt
ဘ	my
certeza	pt
semana	pt
部屋	ja
本当	ja
iets	nl
долго	ru
veces	es
sola	it
ဝ	my
всю	ru
sens	fr
две	ru
дай	ru
sí	es
vino	it
目	ja
amigos	pt
ко	ru
може	uk
huis	nl
dengan	id
mie	it
nossa	pt
lett	hu
mari	hu
друга	ru
勉強	ja
電話	ja
明日	ja
手	ja
mária	hu
gördüm	tr
我々	ja
siz	tr
наш	ru
diz	pt
país	pt
anda	tr
espero	pt
ide	hu
話	ja
cina	it
月	ja
брат	ru
昨日	ja
familie	de
слово	ru
度	ja
nei	it
difícil	pt
tôt	fr
hazır	tr
ဒ	my
прийти	ru
jej	pl
雨	ja
aprender	pt
teu	pt
donna	it
dar	lt
daar	nl
ваша	ru
kitabı	tr
meno	it
ៃ	km
parole	it
deu	pt
sizin	tr
aún	es
kami	tl
母	ja
jobb	hu
livres	fr
akan	id
точно	ru
twee	nl
pais	pt
sig	sv
william	en
bravo	it
cena	it
mot	fr
amor	pt
pronto	es
dio	es
fra	it
nord	it
tage	de
foto	it
間	ja
polis	tr
ဟ	my
先生	ja
grecia	it
untuk	id
後	ja
pensais	fr
importante	it
podem	pt
sila	tl
þú	is
strada	it
هي	ar
consigo	pt
мало	ru
vas	es
出	ja
fort	fr
partie	fr
tik	lt
犬	ja
vista	it
pane	it
dag	nl
័	km
неделе	ru
bere	it
primo	it
problemi	it
کرد	fa
sonne	de
linda	en
ဂ	my
malta	it
beiden	de
beste	de
ходить	ru
sizi	tr
оба	ru
mentre	it
ៀ	km
andando	it
sole	it
deberías	es
facile	it
nigeria	it
telefon	tr
morto	it
libros	es
bundan	tr
решение	ru
testa	it
forte	it
alter	de
tat	de
bureau	fr
ke	id
tatoeba	it
galles	it
gabriel	en
знаем	ru
komme	de
голову	ru
sag	de
farà	it
дела	ru
cinco	es
жена	ru
友達	ja
男	ja
вид	ru
ku	ku
caso	pt
basta	it
ra	vi
vladimir	en
tsa	tn
жаль	ru
ler	pt
fin	fr
clase	es
australien	de
lukas	en
olanda	it
kalman	en
手紙	ja
руку	ru
leer	es
musik	de
tochter	de
gato	es
結婚	ja
carne	it
alice	en
vir	pt
ឡ	km
willen	nl
pada	id
говори	ru
jonas	en
contra	pt
наша	ru
ham	da
familia	es
oda	hu
国	ja
vier	de
iyo	so
martino	en
二	ja
tren	es
ní	yo
edmundo	en
иди	ru
一緒	ja
sortir	fr
somalia	it
fácil	pt
onze	nl
dahil	tl
igen	hu
pakistan	it
yaz	tr
ah	so
व	mr
jede	de
計画	ja
sì	it
dette	da
水	ja
doktor	tr
leon	en
felix	en
estas	es
deixar	pt
mă	ro
problemas	es
hata	tr
一番	ja
hún	is
ឺ	km
آیا	fa
certo	pt
俺	ja
ge	nl
prie	fr
geboren	de
tal	es
idee	de
feu	fr
kde	cs
分	ja
駅	ja
anna	en
世界	ja
anders	de
uganda	it
senden	tr
名前	ja
tej	pl
bastante	pt
kada	lt
morte	pt
других	ru
tse	tn
guerra	it
kom	nl
nic	pl
около	ru
cama	es
parti	fr
licht	de
carlos	en
palabra	es
estaban	es
kto	pl
esperar	pt
成功	ja
ye	ku
seria	pt
подарок	ru
事故	ja
знала	ru
kaya	tl
sigara	tr
dez	pt
terug	nl
sino	es
можеш	uk
razón	es
jou	nl
dormir	pt
alto	it
ee	so
знам	mk
歳	ja
ឆ	km
sage	de
vroeg	nl
ماري	ar
falta	es
být	cs
dalam	id
tí	yo
време	mk
томе	uk
jeho	cs
paris	fr
tas	lt
旅行	ja
kai	lt
algún	es
teléfono	es
機	ja
子	ja
neste	pt
bat	de
病気	ja
teil	de
言葉	ja
bier	de
